식당(ID),식당명,지점명,지역명,네이버평점
22481,이학갈비,,연수구,4.37
22482,태화원,,중구,4.27
22483,등나무 가든,,강화군,4.31
22484,궁중삼계탕,,미추홀구,4.31
22485,장미횟집,,강화군,3.68
22486,부일식당,,부평구,4.38
22487,삼강옥,,중구,4.04
22488,도도해,본사직영점,남동구,4.35
22489,서울돼지1986,,강화군,4.74
22490,선어,,미추홀구,4.38
22491,오리한마리,,동구,4.55
22492,하늘가든,,옹진군,4.32
22493,송도골,본점,미추홀구,4.2
22494,용마루집,본점,부평구,4.29
22495,월미도회집,,중구,3.91
22496,풍미,,중구,4.14
22497,성진물텀벙,,미추홀구,4.15
22499,빕스 프리미어,인천예술회관역점,남동구,4.28
22500,단해,,중구,4.37
22501,청관,,중구,4.15
22502,조마루감자탕,계산점,계양구,4.26
22503,명태덕장,부평시장역점,부평구,4.38
22504,하늘채,,중구,4.32
22505,해안도시,,강화군,4.48
22506,동원물텀벙,,미추홀구,4.44
22507,신선설농탕,부평점,부평구,4.33
22508,금산식당,연수점,연수구,4.36
22510,아웃백스테이크하우스,인천구월점,남동구,4.42
22511,부영선지국,본점,미추홀구,4.38
22512,장어마을,,강화군,4.09
22513,신촌설렁탕연,연수점,연수구,4.38
22514,성원바지락손칼국수,,옹진군,4.02
22515,독도참치,인천주안점,미추홀구,4.36
22516,청해횟집,,남동구,4.17
22517,해촌,,중구,4.38
22518,한우평,,미추홀구,4.38
22519,장군족발보쌈,,계양구,4.27
22520,바베큐광장,,연수구,4.31
22521,서가앤쿡,인천송도점,연수구,4.45
22522,원숯불한우촌,,부평구,4.32
22523,조가네소한마리,주안본점,미추홀구,4.46
22524,경복궁,부평점,부평구,4.3
22525,삿뽀로,부평점,부평구,4.36
22526,백령옥,,연수구,4.21
22527,경복궁,구월점,남동구,
22528,강릉회산막국수,,연수구,4.51
22529,하여울,,중구,4.51
22530,박진형순대국,,미추홀구,4.36
22531,은수저,,부평구,4.22
22532,해바라기 정육식당,,미추홀구,4.51
22533,청해물텀벙,,동구,4.38
22534,계양명가부대찌개,,계양구,4.48
22535,착한낙지,부평직영점,부평구,4.3
22536,북창동순두부,청천점,부평구,4.21
22537,황가복,,부평구,4.27
22538,해랑,,연수구,4.57
22540,드마리스,청라점,서구,4.29
22541,문차이나,,중구,4.1
22543,네스트호텔 플라츠,,중구,4.34
22544,하림,,미추홀구,4.09
22545,힘센풍천장어,,부평구,
22546,샹차이,,연수구,4.29
22547,아트랑 샤브&구이월남쌈,,남동구,4.42
22548,종가집,본점,서구,4.63
22549,그램그램,부평부흥점,부평구,
22550,숙성명작,,서구,4.32
22551,화로구이,구월점,남동구,4.28
22553,북한강쭈꾸미,,연수구,
22554,한라담,청라점,서구,4.19
22555,일월아구쭈꾸미,,동구,4.39
22556,교동찹쌀순대,,서구,4.39
22557,메주꽃이랑,,강화군,4.26
22558,샹차이,인천대점,연수구,4.32
22559,부뚜막애순두부,학익점,미추홀구,4.53
22560,고메돈까스,,계양구,4.36
22561,찬우정,,강화군,4.39
22562,온세미,,부평구,
22563,부뚜막애순두부,신포점,중구,4.31
22564,본래순대,인천송림점,동구,4.52
22565,스쿨푸드,인천공항점,중구,4.46
22567,종로순대,본점,연수구,4.44
22568,만리성,,미추홀구,4.23
22569,거궁,부평점,부평구,4.33
22570,돌판구이촌,,부평구,4.16
22571,명태어장,주안점,미추홀구,4.33
22572,메이스테이크,,부평구,4.41
22573,후원,2001아울렛 부평점,부평구,4.3
22574,경복궁삼계탕전문점,삼산점,부평구,4.4
22575,서서카페,,미추홀구,
22576,충무칼국수보쌈,,강화군,4.32
22577,옛골남원추어탕,,연수구,4.28
22578,옛날그집,인천본점,연수구,4.33
22579,석남동 함흥냉면,,서구,4.35
22581,신포화로구이,,중구,4.39
22582,5.5닭갈비전문점,인천1호점,미추홀구,4.11
22583,원조먹거리식당,,중구,4.26
22584,아우라지,삼산점,부평구,4.55
22585,미가원,,서구,4.19
22587,우리네코다리,,연수구,4.38
22588,굴이랑매생이랑,,미추홀구,4.28
22589,조선화로집,삼산사거리점,부평구,
22590,서울감자탕,,부평구,4.28
22591,맛깔참죽,가톨릭대인천성모병원점,부평구,4.48
22592,전골잘하는곰집,,부평구,4.41
22593,명가원설농탕,주안점,미추홀구,4.33
22594,경복궁,학익점,미추홀구,4.16
22595,명동보리밥,본점,남동구,4.4
22596,금문도,,계양구,4.28
22597,구봉산,,남동구,4.53
22598,송도갈매기,본점,연수구,4.41
22599,청주보쌈,주안본점,미추홀구,4.46
22600,까사올리브,,미추홀구,4.46
22601,해촌,,계양구,4.33
22602,보릿골 정찬,삼산점,부평구,4.44
22603,레인보우차이홍,,연수구,4.27
22604,신관교민물매운탕,,남동구,4.44
22605,칭칭차이나,주안점,미추홀구,4.31
22606,명품삼계탕,,미추홀구,4.45
22608,우판등심,인천점,연수구,4.42
22609,갯마을,,계양구,4.23
22610,삼능참숯한우,,부평구,4.25
22611,원조대추나무영양탕,신관점,미추홀구,4.34
22612,송쭈집,본점,연수구,4.37
22613,열두바구니,송도점,연수구,4.44
22614,마쯔,,강화군,4.34
22615,중화원,,중구,4.14
22616,강화섬보리밥,,강화군,4.33
22617,스토리,,강화군,
22618,전복촌,,남동구,4.33
22619,우리해물탕,,남동구,4.15
22620,박물관산채마을,,남동구,4.43
22622,아바이왕순대,인천본점,연수구,4.44
22623,명가원설농탕,학익점,미추홀구,4.35
22624,서문통닭삼계탕,,미추홀구,4.39
22625,만미가셀프장어구이,,서구,4.41
22626,마니산산채,,강화군,4.29
22627,신한우왕국정육식당,,부평구,4.27
22628,착한낙지,인천만수점,남동구,4.4
22629,구수옥,,남동구,4.29
22631,군봉묵은지김치찜,,연수구,4.29
22632,강선생의냉면막국수,,서구,4.21
22633,동촌집,,강화군,4.13
22634,미소로,,남동구,4.47
22635,어부횟집,,서구,4.35
22636,수인복집,,중구,4
22637,구락다복,,강화군,
22638,함흥관,,부평구,4.22
22639,최서방네우렁쌈밥대패정식,,연수구,4.4
22640,더소야소,부평구청점,부평구,4.67
22642,속초코다리냉면,인천동암점,부평구,4.28
22643,계산동생생동태탕해물집,,계양구,4.25
22644,뜰안에정원,,강화군,4.42
22645,대박집,,중구,4.39
22646,안다미로한정식,,강화군,4.38
22647,황성얼큰오징어찌개,,미추홀구,4.43
22648,마포소금구이,인천본점,연수구,4.53
22649,송도국제경양식,,연수구,4.12
22650,명가한방삼계탕,인천본점,부평구,4.55
22651,동해참치,,미추홀구,4.25
22652,만송골 갈비탕,계양점,계양구,4.3
22653,쭈돈나라,,미추홀구,4.36
22654,두루치기&숯불장어,본점,미추홀구,4.31
22655,착한낙지,주안점,미추홀구,4.32
22656,한우마을,,미추홀구,4.33
22657,방일해장국,연수점,연수구,4.15
22658,도쿄하나,송도점,연수구,4.46
22660,아우라지,,계양구,4.6
22661,논현코다리냉면,,남동구,4.4
22662,백제원,송도점,연수구,4.29
22663,오아라쭈꾸미,인천구월점,남동구,4.43
