"행정구역","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"경기도  (4100000000)","13,689,215","13,689,215","877,257","1,323,196","1,530,767","1,924,979","2,156,561","2,343,508","1,977,469","1,014,852","456,810","81,846","1,970","6,869,455","6,869,455","449,196","676,037","799,439","1,009,511","1,100,673","1,176,460","986,457","473,998","176,220","21,099","365","6,819,760","6,819,760","428,061","647,159","731,328","915,468","1,055,888","1,167,048","991,012","540,854","280,590","60,747","1,605"
"경기도 수원시 (4111000000)","1,180,895","1,180,895","71,223","110,195","159,601","187,728","181,814","198,684","158,489","74,797","32,510","5,710","144","592,402","592,402","36,644","56,756","82,737","99,601","92,310","97,964","78,609","34,096","12,208","1,454","23","588,493","588,493","34,579","53,439","76,864","88,127","89,504","100,720","79,880","40,701","20,302","4,256","121"
"경기도 수원시 장안구 (4111100000)","269,163","269,163","13,434","24,979","37,250","35,338","37,593","48,782","40,347","19,990","9,616","1,798","36","134,887","134,887","6,822","12,935","20,388","18,820","18,811","23,947","20,085","8,993","3,630","450","6","134,276","134,276","6,612","12,044","16,862","16,518","18,782","24,835","20,262","10,997","5,986","1,348","30"
"경기도 수원시 권선구 (4111300000)","359,082","359,082","20,587","31,610","44,069","57,393","55,492","60,826","53,031","24,589","9,779","1,664","42","180,889","180,889","10,650","16,239","22,479","30,899","28,915","29,934","26,241","11,454","3,645","430","3","178,193","178,193","9,937","15,371","21,590","26,494","26,577","30,892","26,790","13,135","6,134","1,234","39"
"경기도 수원시 팔달구 (4111500000)","191,929","191,929","10,228","13,105","27,805","32,458","26,214","31,517","27,652","15,107","6,726","1,080","37","96,182","96,182","5,274","6,694","13,921","17,567","13,779","15,757","13,615","6,714","2,569","286","6","95,747","95,747","4,954","6,411","13,884","14,891","12,435","15,760","14,037","8,393","4,157","794","31"
"경기도 수원시 영통구 (4111700000)","360,721","360,721","26,974","40,501","50,477","62,539","62,515","57,559","37,459","15,111","6,389","1,168","29","180,444","180,444","13,898","20,888","25,949","32,315","30,805","28,326","18,668","6,935","2,364","288","8","180,277","180,277","13,076","19,613","24,528","30,224","31,710","29,233","18,791","8,176","4,025","880","21"
"경기도 성남시 (4113000000)","899,060","899,060","53,874","80,885","102,826","134,199","138,950","148,648","129,538","72,548","31,705","5,741","146","443,761","443,761","27,501","41,240","52,288","69,250","69,046","73,668","63,015","33,505","12,685","1,534","29","455,299","455,299","26,373","39,645","50,538","64,949","69,904","74,980","66,523","39,043","19,020","4,207","117"
"경기도 성남시 수정구 (4113100000)","232,907","232,907","13,088","16,037","27,407","36,107","33,639","37,750","37,255","21,800","8,529","1,265","30","117,561","117,561","6,691","8,063","14,356","19,302","17,801","19,327","18,356","10,036","3,314","308","7","115,346","115,346","6,397","7,974","13,051","16,805","15,838","18,423","18,899","11,764","5,215","957","23"
"경기도 성남시 중원구 (4113300000)","200,669","200,669","9,873","13,860","23,090","30,880","28,185","33,015","33,921","19,048","7,644","1,111","42","100,865","100,865","5,002","7,163","11,856","16,726","14,820","16,725","16,530","8,812","2,969","255","7","99,804","99,804","4,871","6,697","11,234","14,154","13,365","16,290","17,391","10,236","4,675","856","35"
"경기도 성남시 분당구 (4113500000)","465,484","465,484","30,913","50,988","52,329","67,212","77,126","77,883","58,362","31,700","15,532","3,365","74","225,335","225,335","15,808","26,014","26,076","33,222","36,425","37,616","28,129","14,657","6,402","971","15","240,149","240,149","15,105","24,974","26,253","33,990","40,701","40,267","30,233","17,043","9,130","2,394","59"
